iter	Logloss
0	0.6512300818
1	0.6177892299
2	0.5893581499
3	0.5660746309
4	0.5410135747
5	0.5210191199
6	0.5022938389
7	0.4865469789
8	0.4723694741
9	0.459186669
10	0.4453018806
11	0.4348437879
12	0.4255713858
13	0.4169304689
14	0.4096435231
15	0.4035732325
16	0.3977792824
17	0.392324653
18	0.3872417808
19	0.3822566122
20	0.3754432015
21	0.3707425744
22	0.3667331272
23	0.3629804639
24	0.35829227
25	0.3541789683
26	0.3506165339
27	0.346794871
28	0.3440227919
29	0.3403173113
30	0.3378325075
31	0.3357513454
32	0.333537993
33	0.3306285717
34	0.3282202853
35	0.3257164507
36	0.3239694574
37	0.3213878963
38	0.3195837581
39	0.3176364159
40	0.3152334918
41	0.3133394568
42	0.3111184027
43	0.3096389705
44	0.3082205471
45	0.3062608507
46	0.304459157
47	0.3026421126
48	0.3002039657
49	0.2984329473
50	0.2972367424
51	0.2959142877
52	0.2945453338
53	0.2935398309
54	0.2920696249
55	0.2910604945
56	0.2886413785
57	0.2874023017
58	0.2859383517
59	0.284553679
60	0.283291576
61	0.2817145454
62	0.2804603544
63	0.2790558886
64	0.2783565078
65	0.2768991817
66	0.2753198905
67	0.2740517155
68	0.2728174228
69	0.271682437
70	0.2703465504
71	0.269637733
72	0.2684023888
73	0.2676755394
74	0.2661755781
75	0.2652604188
76	0.263662307
77	0.2625819953
78	0.2613925457
79	0.2603328682
80	0.2594387899
81	0.2589307944
82	0.2589097134
83	0.2576502916
84	0.2562878302
85	0.2545110816
86	0.2534778473
87	0.2526556602
88	0.2518129702
89	0.2509859465
90	0.2494644047
91	0.2486222667
92	0.2475970233
93	0.2460934871
94	0.2447368349
95	0.2447324189
96	0.2436741608
97	0.2428960808
98	0.2422180439
99	0.240787792
100	0.240141876
101	0.2393880839
102	0.2385689721
103	0.2373937957
104	0.2366505441
105	0.2361787702
106	0.2355487045
107	0.2347889982
108	0.2336140845
109	0.2328899689
110	0.2319281789
111	0.2312225421
112	0.2305604867
113	0.2298496716
114	0.2289683681
115	0.2282098972
116	0.2272475552
117	0.2265253847
118	0.2257713298
119	0.2251079076
120	0.2246500388
121	0.2237650816
122	0.2230748218
123	0.2224602646
124	0.2210738571
125	0.2204607849
126	0.2194265913
127	0.2189223284
128	0.2181561952
129	0.2169601743
130	0.2164223578
131	0.2159609536
132	0.2156945491
133	0.2146470023
134	0.2133890131
135	0.2128194173
136	0.2123357886
137	0.2114538017
138	0.2107758699
139	0.2098695031
140	0.2091085744
141	0.2080675859
142	0.2073951215
143	0.2069887988
144	0.2060180191
145	0.2053508249
146	0.2050020282
147	0.2044759483
148	0.2039503677
149	0.2034760179
150	0.2028864845
151	0.2022153606
152	0.2017797031
153	0.2010101792
154	0.2009395235
155	0.2000010357
156	0.1995535102
157	0.1986718124
158	0.1980386056
159	0.197389233
160	0.1963974117
161	0.1960277837
162	0.1955058831
163	0.1949475376
164	0.1944605575
165	0.193672489
166	0.1932534703
167	0.1927213447
168	0.1923310299
169	0.1914922302
170	0.191114217
171	0.1905663069
172	0.1901001581
173	0.1895083773
174	0.188517384
175	0.1881536834
176	0.1877083922
177	0.1869825023
178	0.186343092
179	0.1856794333
180	0.1853651758
181	0.184962165
182	0.1839874557
183	0.1835495113
184	0.1830773037
185	0.1828211374
186	0.1821731975
187	0.1815015873
188	0.1812056115
189	0.1807465467
190	0.180296787
191	0.179935544
192	0.1793396101
193	0.1788755905
194	0.1784871156
195	0.1780783878
196	0.1773998776
197	0.1770613323
198	0.1766933602
199	0.1763461012
200	0.1758412337
201	0.1751926629
202	0.174885726
203	0.174596269
204	0.174237786
205	0.1739462788
206	0.1736567298
207	0.1730603227
208	0.1723734538
209	0.1718746977
210	0.171004973
211	0.1706230433
212	0.1701037582
213	0.169889938
214	0.169733565
215	0.1694222647
216	0.1689969374
217	0.1686166111
218	0.1681266082
219	0.167707826
220	0.167268896
221	0.1669165376
222	0.1665338981
223	0.1659997879
224	0.1655595699
225	0.1651726459
226	0.164727841
227	0.1644818078
228	0.1637275689
229	0.1633775368
230	0.1631153248
231	0.1626315384
232	0.1622856462
233	0.1616905666
234	0.1613553201
235	0.1609235923
236	0.1604674583
237	0.1597847425
238	0.1592918744
239	0.1590301619
240	0.1585618183
241	0.1581462693
242	0.1578129942
243	0.1573223998
244	0.1568403877
245	0.156271541
246	0.1558561498
247	0.155620736
248	0.1550997554
249	0.1547059709
250	0.1543606044
251	0.153889606
252	0.1536346357
253	0.1531457499
254	0.1528987178
255	0.1524996236
256	0.1521479486
257	0.1518996417
258	0.1517291927
259	0.1514998903
260	0.1513384573
261	0.1510165114
262	0.1508163728
263	0.1503264619
264	0.1501357336
265	0.1497851626
266	0.1495046427
267	0.1491998875
268	0.1487215027
269	0.1482993166
270	0.1480365658
271	0.1477080747
272	0.147433837
273	0.1471126008
274	0.1467219705
275	0.1464054919
276	0.1458642715
277	0.1456315914
278	0.1451741694
279	0.1445811269
280	0.1442127343
281	0.1437442329
282	0.1433439427
283	0.1429734735
284	0.1427868852
285	0.1423251787
286	0.1419881579
287	0.1415591901
288	0.1412427378
289	0.1406979951
290	0.1402285606
291	0.1399996525
292	0.1394645829
293	0.1391856401
294	0.1387915796
295	0.1383061503
296	0.1381452562
297	0.1375232207
298	0.1371233642
299	0.1370129384
